isco_88_4dig;isco_88_1dig;isco_88_2dig;isco_88_3dig
110;0;1;11
1110;1;11;111
1120;1;11;112
1130;1;11;113
1141;1;11;114
1142;1;11;114
1143;1;11;114
1210;1;12;121
1221;1;12;122
1222;1;12;122
1223;1;12;122
1224;1;12;122
1225;1;12;122
1226;1;12;122
1227;1;12;122
1228;1;12;122
1229;1;12;122
1231;1;12;123
1232;1;12;123
1233;1;12;123
1234;1;12;123
1235;1;12;123
1236;1;12;123
1237;1;12;123
1239;1;12;123
1311;1;13;131
1312;1;13;131
1313;1;13;131
1314;1;13;131
1315;1;13;131
1316;1;13;131
1317;1;13;131
1318;1;13;131
1319;1;13;131
2111;2;21;211
2112;2;21;211
2113;2;21;211
2114;2;21;211
2121;2;21;212
2122;2;21;212
2131;2;21;213
2132;2;21;213
2139;2;21;213
2141;2;21;214
2142;2;21;214
2143;2;21;214
2144;2;21;214
2145;2;21;214
2146;2;21;214
2147;2;21;214
2148;2;21;214
2149;2;21;214
2211;2;22;221
2212;2;22;221
2213;2;22;221
2221;2;22;222
2222;2;22;222
2223;2;22;222
2224;2;22;222
2229;2;22;222
2230;2;22;223
2310;2;23;231
2320;2;23;232
2331;2;23;233
2332;2;23;233
2340;2;23;234
2351;2;23;235
2352;2;23;235
2359;2;23;235
2411;2;24;241
2412;2;24;241
2419;2;24;241
2421;2;24;242
2422;2;24;242
2429;2;24;242
2431;2;24;243
2432;2;24;243
2441;2;24;244
2442;2;24;244
2443;2;24;244
2444;2;24;244
2445;2;24;244
2446;2;24;244
2451;2;24;245
2452;2;24;245
2453;2;24;245
2454;2;24;245
2455;2;24;245
2460;2;24;246
3111;3;31;311
3112;3;31;311
3113;3;31;311
3114;3;31;311
3115;3;31;311
3116;3;31;311
3117;3;31;311
3118;3;31;311
3119;3;31;311
3121;3;31;312
3122;3;31;312
3123;3;31;312
3131;3;31;313
3132;3;31;313
3133;3;31;313
3139;3;31;313
3141;3;31;314
3142;3;31;314
3143;3;31;314
3144;3;31;314
3145;3;31;314
3151;3;31;315
3152;3;31;315
3211;3;32;321
3212;3;32;321
3213;3;32;321
3221;3;32;322
3222;3;32;322
3223;3;32;322
3224;3;32;322
3225;3;32;322
3226;3;32;322
3227;3;32;322
3228;3;32;322
3229;3;32;322
3231;3;32;323
3232;3;32;323
3241;3;32;324
3242;3;32;324
3310;3;33;331
3320;3;33;332
3330;3;33;333
3340;3;33;334
3411;3;34;341
3412;3;34;341
3413;3;34;341
3414;3;34;341
3415;3;34;341
3416;3;34;341
3417;3;34;341
3419;3;34;341
3421;3;34;342
3422;3;34;342
3423;3;34;342
3429;3;34;342
3431;3;34;343
3432;3;34;343
3433;3;34;343
3434;3;34;343
3439;3;34;343
3441;3;34;344
3442;3;34;344
3443;3;34;344
3444;3;34;344
3449;3;34;344
3450;3;34;345
3460;3;34;346
3471;3;34;347
3472;3;34;347
3473;3;34;347
3474;3;34;347
3475;3;34;347
3480;3;34;348
4111;4;41;411
4112;4;41;411
4113;4;41;411
4114;4;41;411
4115;4;41;411
4121;4;41;412
4122;4;41;412
4131;4;41;413
4132;4;41;413
4133;4;41;413
4141;4;41;414
4142;4;41;414
4143;4;41;414
4144;4;41;414
4190;4;41;419
4211;4;42;421
4212;4;42;421
4213;4;42;421
4214;4;42;421
4215;4;42;421
4221;4;42;422
4222;4;42;422
4223;4;42;422
5111;5;51;511
5112;5;51;511
5113;5;51;511
5121;5;51;512
5122;5;51;512
5123;5;51;512
5131;5;51;513
5132;5;51;513
5133;5;51;513
