"Code","Label","Version"
"1000","managers","isco_2008"
"2000","professionals","isco_2008"
"3000","technicians and associate professionals","isco_2008"
"4000","clerical support workers","isco_2008"
"5000","services and sales workers","isco_2008"
"6000","skilled agricultural, forestry and fishery workers","isco_2008"
"7000","craft and related trades workers","isco_2008"
"8000","plant and machine operators and assemblers","isco_2008"
"9000","elementary occupations","isco_2008"
"0000","armed forces occupations","isco_2008"
"1100","chief executives, senior officials and legislators","isco_2008"
"1200","administrative and commercial managers","isco_2008"
"1300","production and specialized services managers","isco_2008"
"1400","hospitality, retail and other services managers","isco_2008"
"2100","science and engineering professionals","isco_2008"
"2200","health professionals","isco_2008"
"2300","teaching professionals","isco_2008"
"2400","business and administration professionals","isco_2008"
"2500","information and communications technology professionals","isco_2008"
"2600","legal, social and cultural professionals","isco_2008"
"3100","science and engineering associate professionals","isco_2008"
"3200","health associate professionals","isco_2008"
"3300","business and administration associate professionals","isco_2008"
"3400","legal, social, cultural and related associate professionals","isco_2008"
"3500","information and communications technicians","isco_2008"
"4100","general and keyboard clerks","isco_2008"
"4200","customer services clerks","isco_2008"
"4300","numerical and material recording clerks","isco_2008"
"4400","other clerical support workers","isco_2008"
"5100","personal services workers","isco_2008"
"5200","sales workers","isco_2008"
"5300","personal care workers","isco_2008"
"5400","protective services workers","isco_2008"
"6100","market-oriented skilled agricultural workers","isco_2008"
"6200","market-oriented skilled forestry, fishery and hunting workers","isco_2008"
"6300","subsistence farmers, fishers, hunters and gatherers","isco_2008"
"7100","building and related trades workers (excluding electricians)","isco_2008"
"7200","metal, machinery and related trades workers","isco_2008"
"7300","handicraft and printing workers","isco_2008"
"7400","electrical and electronics trades workers","isco_2008"
"7500","food processing, woodworking, garment and other craft and related trades workers","isco_2008"
"8100","stationary plant and machine operators","isco_2008"
"8200","assemblers","isco_2008"
"8300","drivers and mobile plant operators","isco_2008"
"9100","cleaners and helpers","isco_2008"
"9200","agricultural, forestry and fishery labourers","isco_2008"
"9300","labourers in mining, construction, manufacturing and transport","isco_2008"
"9400","food preparation assistants","isco_2008"
"9500","street and related sales and services workers","isco_2008"
"9600","refuse workers and other elementary workers","isco_2008"
"0100","commissioned armed forces officers","isco_2008"
"0200","non-commissioned armed forces officers","isco_2008"
"0300","armed forces occupations, other ranks","isco_2008"
"1110","legislators and senior officials","isco_2008"
"1120","managing directors and chief executives","isco_2008"
"1210","business services and administration managers","isco_2008"
"1220","sales, marketing and development managers","isco_2008"
"1310","production managers in agriculture, forestry and fisheries","isco_2008"
"1320","manufacturing, mining, construction and distribution managers","isco_2008"
"1330","information and communications technology services managers","isco_2008"
"1340","professional services managers","isco_2008"
"1410","hotel and restaurant managers","isco_2008"
"1420","retail and wholesale trade managers","isco_2008"
"1430","other services managers","isco_2008"
"2110","physical and earth science professionals","isco_2008"
"2120","mathematicians, actuaries and statisticians","isco_2008"
"2130","life science professionals","isco_2008"
"2140","engineering professionals (excluding electrotechnology)","isco_2008"
"2150","electrotechnology engineers","isco_2008"
"2160","architects, planners, surveyors and designers","isco_2008"
"2210","medical doctors","isco_2008"
"2220","nursing and midwifery professionals","isco_2008"
"2230","traditional and complementary medicine professionals","isco_2008"
"2240","paramedical practitioners","isco_2008"
"2250","veterinarians","isco_2008"
"2260","other health professionals","isco_2008"
"2310","university and higher education teachers","isco_2008"
"2320","vocational education teachers","isco_2008"
"2330","secondary education teachers","isco_2008"
"2340","primary school and early childhood teachers","isco_2008"
"2350","other teaching professionals","isco_2008"
"2410","finance professionals","isco_2008"
"2420","administration professionals","isco_2008"
"2430","sales, marketing and public relations professionals","isco_2008"
"2510","software and applications developers and analysts","isco_2008"
"2520","database and network professionals","isco_2008"
"2610","legal professionals","isco_2008"
"2620","librarians, archivists and curators ","isco_2008"
"2630","social and religious professionals","isco_2008"
"2640","authors, journalists and linguists","isco_2008"
"2650","creative and performing artists","isco_2008"
"3110","physical and engineering science technicians","isco_2008"
"3120","mining, manufacturing and construction supervisors","isco_2008"
"3130","process control technicians","isco_2008"
"3140","life science technicians and related associate professionals","isco_2008"
"3150","ship and aircraft controllers and technicians","isco_2008"
"3210","medical and pharmaceutical technicians","isco_2008"
"3220","nursing and midwifery associate professionals","isco_2008"
"3230","traditional and complementary medicine associate professionals","isco_2008"
"3240","veterinary technicians and assistants","isco_2008"
"3250","other health associate professionals","isco_2008"
"3310","financial and mathematical associate professionals","isco_2008"
"3320","sales and purchasing agents and brokers","isco_2008"
"3330","business services agents","isco_2008"
"3340","administrative and specialized secretaries","isco_2008"
"3350","government regulatory associate professionals","isco_2008"
"3410","legal, social and religious associate professionals","isco_2008"
"3420","sports and fitness workers","isco_2008"
"3430","artistic, cultural and culinary associate professionals","isco_2008"
"3510","information and communications technology operations and user support technicians","isco_2008"
"3520","telecommunications and broadcasting technicians","isco_2008"
"4110","general office clerks","isco_2008"
"4120","secretaries (general)","isco_2008"
"4130","keyboard operators","isco_2008"
"4210","tellers, money collectors and related clerks","isco_2008"
"4220","client information workers","isco_2008"
"4310","numerical clerks","isco_2008"
"4320","material recording and transport clerks","isco_2008"
"4410","other clerical support workers","isco_2008"
"5110","travel attendants, conductors and guides","isco_2008"
"5120","cooks","isco_2008"
"5130","waiters and bartenders","isco_2008"
"5140","hairdressers, beauticians and related workers","isco_2008"
"5150","building and housekeeping supervisors","isco_2008"
"5160","other personal services workers","isco_2008"
"5210","street and market salespersons","isco_2008"
"5220","shop salespersons ","isco_2008"
"5230","cashiers and ticket clerks","isco_2008"
"5240","other sales workers","isco_2008"
"5310","child care workers and teachers’ aides","isco_2008"
"5320","personal care workers in health services","isco_2008"
"5410","protective services workers","isco_2008"
"6110","market gardeners and crop growers","isco_2008"
"6120","animal producers","isco_2008"
"6130","mixed crop and animal producers","isco_2008"
"6210","forestry and related workers","isco_2008"
"6220","fishery workers, hunters and trappers","isco_2008"
"6310","subsistence crop farmers","isco_2008"
"6320","subsistence livestock farmers","isco_2008"
"6330","subsistence mixed crop and livestock farmers","isco_2008"
"6340","subsistence fishers, hunters, trappers and gatherers","isco_2008"
"7110","building frame and related trades workers","isco_2008"
"7120","building finishers and related trades workers","isco_2008"
"7130","painters, building structure cleaners and related trades workers","isco_2008"
"7210","sheet and structural metal workers, moulders and welders, and related workers","isco_2008"
"7220","blacksmiths, toolmakers and related trades workers","isco_2008"
"7230","machinery mechanics and repairers","isco_2008"
"7310","handicraft workers","isco_2008"
"7320","printing trades workers","isco_2008"
"7410","electrical equipment installers and repairers","isco_2008"
"7420","electronics and telecommunications installers and repairers","isco_2008"
"7510","food processing and related trades workers","isco_2008"
"7520","wood treaters, cabinet-makers and related trades workers","isco_2008"
"7530","garment and related trades workers","isco_2008"
"7540","other craft and related workers","isco_2008"
"8110","mining and mineral processing plant operators","isco_2008"
"8120","metal processing and finishing plant operators","isco_2008"
"8130","chemical and photographic products plant and machine operators","isco_2008"
"8140","rubber, plastic and paper products machine operators","isco_2008"
"8150","textile, fur and leather products machine operators","isco_2008"
"8160","food and related products machine operators","isco_2008"
"8170","wood processing and papermaking plant operators","isco_2008"
"8180","other stationary plant and machine operators","isco_2008"
